vehicle,time,aspd[m/s],gspd[m/s],hdg,alt[m-msl]
veh_1,12:20:25.86,1.60218977928,0.0799999982119,214.0,273.679992676
veh_1,12:20:26.11,0.686741948128,0.0599999986589,214.0,273.739990234
veh_1,12:20:26.40,0.698347508907,0.0999999940395,214.0,273.739990234
veh_1,12:20:26.73,1.02271616459,0.129999995232,214.0,273.739990234
veh_1,12:20:26.98,0.866618216038,0.0399999991059,213.0,273.670013428
veh_1,12:20:27.38,1.25207209587,0.199999988079,213.0,273.730010986
veh_1,12:20:27.61,0.854605853558,0.070000000298,213.0,273.690002441
veh_1,12:20:27.88,1.63414466381,0.119999997318,214.0,273.720001221
veh_1,12:20:28.26,1.40809774399,0.0799999982119,213.0,273.760009766
veh_1,12:20:29.67,0.813857972622,0.00999999977648,213.0,273.579986572
veh_1,12:20:30.00,0.899807929993,0.0399999991059,213.0,273.540008545
veh_1,12:20:30.71,1.56091570854,0.0399999991059,213.0,273.450012207
veh_1,12:20:30.96,0.976507306099,0.0999999940395,213.0,273.480010986
veh_1,12:20:31.59,1.27292001247,0.070000000298,213.0,273.420013428
veh_1,12:20:31.84,1.03805172443,0.0899999961257,213.0,273.399993896
veh_1,12:20:32.06,1.09820997715,0.0399999991059,214.0,273.410003662
veh_1,12:20:32.86,1.07942426205,0.0799999982119,214.0,273.510009766
veh_1,12:20:33.93,1.6490060091,0.0499999970198,213.0,273.640014648
veh_1,12:20:34.18,1.77286279202,0.129999995232,213.0,273.609985352
veh_1,12:20:34.43,0.880321145058,0.070000000298,213.0,273.579986572
veh_1,12:20:34.86,1.20772862434,0.070000000298,213.0,273.600006104
veh_1,12:20:35.51,0.677673578262,0.0599999986589,213.0,273.730010986
veh_1,12:20:35.93,0.906996071339,0.299999982119,213.0,273.769989014
veh_1,12:20:36.31,1.51524043083,0.149999991059,214.0,273.890014648
veh_1,12:20:36.81,1.30015528202,0.129999995232,213.0,273.929992676
veh_1,12:20:37.58,1.72029697895,0.109999999404,213.0,274.010009766
veh_1,12:20:37.86,1.04459965229,0.149999991059,213.0,274.119995117
veh_1,12:20:38.38,1.76101469994,0.0599999986589,213.0,274.140014648
veh_1,12:20:38.74,1.82188594341,0.0899999961257,213.0,274.149993896
veh_1,12:20:39.32,2.00356459618,0.119999997318,213.0,274.149993896
veh_1,12:20:40.00,1.8214789629,0.0799999982119,213.0,273.989990234
veh_1,12:20:40.41,0.817872285843,0.0599999986589,213.0,273.980010986
veh_1,12:20:40.77,0.903002023697,0.129999995232,213.0,273.970001221
